Date,Vantage Pro 2,,,,,,Soil Temp & Moisture,,,,,
YYYY-MM-DD hh:mm AM/PM tz,Min Air Temperature,Max Air Temperature,Average Temperature,Precipitation,Max Humidity,Min Humidity,Min Soil Temperature,Max Soil Temperature,Soil Temperature,Soil Moisture,Max Soil Moisture,Min Soil Moisture
2021-05-18 12:00 AM CDT,66.1,81.8,73.65,0,78.4,57.9,73.6,79.7,76.4,0.47,0.48,0.46
2021-05-19 12:00 AM CDT,72.7,80.9,75.96,0,66.2,50,74.2,80.1,76.94,0.47,0.48,0.45
2021-05-20 12:00 AM CDT,69.1,83.3,76.55,0,70.4,47.4,74.5,83.7,78.33,0.46,0.47,0.44
2021-05-21 12:00 AM CDT,67.5,84.7,75.36,0,71.5,30.8,74.9,84.7,78.95,0.45,0.47,0.43
2021-05-22 12:00 AM CDT,64.2,84,74.09,0,72.8,37.3,75.2,85.9,79.81,0.43,0.45,0.42
2021-05-23 12:00 AM CDT,62.3,85.4,73.53,0,78.9,37.6,74.9,86.3,80.23,0.42,0.44,0.4
2021-05-24 12:00 AM CDT,64.8,85.7,74.63,0,86.8,32.9,76.4,88.8,81.93,0.4,0.42,0.38
2021-05-25 12:00 AM CDT,63.1,85.5,74.19,0,86.7,39.1,77.2,89.4,82.73,0.39,0.41,0.37
2021-05-26 12:00 AM CDT,64.3,86.6,75.5,0,86.8,44,78,89.6,83.43,0.38,0.39,0.36
2021-05-27 12:00 AM CDT,68.3,86.1,77.22,0,87,51.6,79.7,90.5,84.56,0.37,0.39,0.36
2021-05-28 12:00 AM CDT,72.4,86.3,78.86,0.51,84.2,50.9,81,90.5,84.95,0.36,0.38,0.3
2021-05-29 12:00 AM CDT,67.1,84.9,75.73,0,86.4,50.1,77.7,84.5,81.23,0.29,0.3,0.28
2021-05-30 12:00 AM CDT,58.3,82.2,70.53,0,72.5,28.8,72.4,84.9,78.33,0.3,0.31,0.29
2021-05-31 12:00 AM CDT,61.7,86.9,74.11,0,80.8,33.3,73.8,86.9,79.69,0.3,0.31,0.28
2021-06-01 12:00 AM CDT,65.6,88.1,76.3,0,88.4,48,77.2,87.7,81.93,0.3,0.31,0.28
2021-06-02 12:00 AM CDT,68.4,87.1,77.24,0,87.9,42.4,78.6,87.3,82.67,0.28,0.29,0.27
2021-06-03 12:00 AM CDT,72.8,85.1,77.44,0.12,86.5,59,79.9,85.3,82.44,0.27,0.28,0.26
2021-06-04 12:00 AM CDT,70.1,83.1,75.25,0.06,87,64.3,78.4,82.3,80.27,0.26,0.27,0.25
2021-06-05 12:00 AM CDT,70.9,78.4,74.28,0.08,86.8,66,77.2,79.7,78.19,0.26,0.26,0.25
2021-06-06 12:00 AM CDT,69.9,84.2,77.81,1.02,87.7,73.1,76.3,80.6,78.04,0.24,0.25,0.22
2021-06-07 12:00 AM CDT,70.4,88.5,79.02,0,88,63.6,75,84.9,79.46,0.22,0.22,0.21
2021-06-08 12:00 AM CDT,75,87.7,79.73,0.1,88.3,68.6,79.2,83.1,81.14,0.23,0.23,0.22
2021-06-09 12:00 AM CDT,73.8,87.7,80.09,0,88.1,62,78.2,86.3,81.85,0.24,0.27,0.23
2021-06-10 12:00 AM CDT,73.8,86.7,80.64,0.06,87.2,67.2,79.9,85.9,82.42,0.27,0.28,0.27
,,,,,,,,,,,,
From planting to collection,,,,,,,,,,,,
Average,68.025,85.0375,76.15458333,0.08125,82.72083333,50.24583333,76.80833333,85.35833333,80.66333333,0.335833333,,
Median,68.35,85.45,75.845,0,86.75,50.05,77.2,85.6,80.705,0.3,,
SUM,1632.6,2040.9,1827.71,1.95,1985.3,1205.9,1843.4,2048.6,1935.92,8.06,,
STDEV,4.451340604,2.246506201,2.479721585,0.234780259,5.439452066,13.7499228,2.184059292,2.899537752,1.963037594,0.070697891,,
,,,,,,,,,,,,
five days following planting,,,,,,,,,,,,
Average,67.92,82.94,75.122,0,71.86,44.68,74.48,82.82,78.086,0.456,,
Median,68.3,82.55,75.66,0,70.95,48.7,74.35,81.9,77.635,0.465,,
SUM,3004.126341,3754.434006,3360.759305,4.216030259,3707.310285,2264.845756,3395.692393,3770.657871,3564.511371,14.12653122,,
STDEV,350.7012934,438.6500461,392.7594694,0.476499173,426.2744367,258.4428459,396.1394474,440.3837761,416.0974798,1.740856089,,
,,,,,,,,,,,,
three days following planting,,,,,,,,,,,,
Average,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
Median,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
SUM,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,
STDEV,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,